message_len,total_time,throughput
26601,0.300643,1.687635
26701,0.274340,1.856390
26801,0.270530,1.889585
26901,0.299746,1.711772
27001,0.295017,1.745674
27101,0.292542,1.766968
27201,0.294140,1.763849
27301,0.287642,1.810326
27401,0.278935,1.873674
27501,0.294560,1.780761
27601,0.305131,1.725321
27701,0.282030,1.873402
27801,0.318630,1.664195
27901,0.317386,1.676729
28001,0.289543,1.844554
28101,0.290740,1.843518
28201,0.339177,1.585877
28301,0.295561,1.826358
28401,0.417250,1.298281
28501,0.285692,1.902801
28601,0.304486,1.791615
28701,0.309469,1.768930
28801,0.270756,2.028900
28901,0.329705,1.671929
29001,0.277247,1.995156
29101,0.309028,1.796143
29201,0.270956,2.055558
29301,0.287733,1.942331
29401,0.314457,1.783330
29501,0.338839,1.660635
29601,0.331848,1.701367
29701,0.346619,1.634369
29801,0.288003,1.973624
29901,0.282224,2.020795
30001,0.290560,1.969385
30101,0.315672,1.818760
30201,0.280295,2.055118
30301,0.284370,2.032373
30401,0.365199,1.587773
30501,0.313515,1.855612
30601,0.282043,2.069432
30701,0.313420,1.868342
30801,0.327180,1.795598
30901,0.318935,1.847999
31001,0.342072,1.728579
31101,0.362624,1.635867
31201,0.364993,1.630479
31301,0.351327,1.699331
31401,0.342213,1.750158
31501,0.345139,1.740849
31601,0.335860,1.794625
31701,0.381058,1.586764
31801,0.364065,1.666068
31901,0.337579,1.802434
32001,0.403508,1.512664
32101,0.341926,1.790679
32201,0.381642,1.609325
32301,0.401547,1.534301
32401,0.310182,1.992385
32501,0.400467,1.547965
32601,0.365597,1.700824
32701,0.317434,1.964888
32801,0.445874,1.403155
32901,0.458413,1.368935
33001,1.149762,0.547457
33101,0.430257,1.467385
33201,0.328339,1.928677
33301,0.372648,1.704471
33401,0.317016,2.009599
33501,0.392319,1.628732
33601,0.321777,1.991721
33701,0.322885,1.990789
33801,0.403675,1.597088
33901,0.334633,1.932301
34001,0.349764,1.854162
34101,0.329244,1.975514
34201,0.330410,1.974316
34301,0.357470,1.830199
34401,0.327802,2.001659
34501,0.358835,1.833865
34601,0.387905,1.701350
34701,0.375504,1.762616
34801,0.455028,1.458762
34901,0.342126,1.945728
35001,0.361991,1.844221
35101,0.356376,1.878632
35201,0.435509,1.541662
35301,0.312396,2.155324
35401,1.239984,0.544540
35501,0.508690,1.331124
35601,0.444983,1.525982
35701,0.406847,1.673709
35801,0.424031,1.610381
35901,0.330664,2.070856
36001,0.372181,1.844976
36101,0.385859,1.784517
36201,0.430478,1.603983
36301,0.350303,1.976540
36401,0.346170,2.005646
36501,0.378053,1.841545
36601,0.366687,1.903828
36701,0.402063,1.741063
36801,0.352352,1.992113
36901,0.333174,2.112504
37001,0.349657,2.018376
37101,0.322299,2.195618
37201,0.439534,1.614332
37301,0.576086,1.234991
37401,0.528278,1.350365
37501,0.369620,1.935166
37601,0.369504,1.940937
37701,0.459878,1.563656
37801,0.382646,1.884240
37901,0.375048,1.927498
38001,0.442771,1.636991
38101,0.370080,1.963681
38201,0.489317,1.489068
38301,1.130354,0.646289
38401,1.749108,0.418752
38501,0.379410,1.935501
38601,0.376386,1.956122
38701,0.444577,1.660373
38801,0.904332,0.818362
38901,0.396233,1.872580
39001,0.455935,1.631562
39101,0.441293,1.690018
39201,0.514122,1.454326
39301,0.618536,1.211906
39401,0.550422,1.365345
39501,0.423101,1.780718
39601,0.568548,1.328524
39701,0.386083,1.961335
39801,0.420891,1.803660
39901,0.421016,1.807655
40001,0.402220,1.896869
40101,0.427273,1.790111
40201,0.395173,1.940352
40301,0.444411,1.729662
40401,0.634536,1.214413
40501,0.423775,1.822893
40601,0.472704,1.638240
40701,0.439752,1.765336
40801,0.466817,1.667074
40901,0.446551,1.747003
41001,0.535331,1.460840
41101,0.493654,1.588038
41201,0.430591,1.825045
41301,0.502186,1.568652
41401,0.458603,1.721888
41501,0.440507,1.796951
41601,0.463530,1.711813
41701,0.447495,1.777414
41801,0.500594,1.592691
41901,0.480919,1.661817
42001,0.419759,1.908490
42101,0.423770,1.894926
42201,0.446796,1.801542
42301,0.444577,1.814823
42401,0.429006,1.885140
42501,0.431923,1.876821
42601,0.488584,1.663071
42701,0.550403,1.479748
42801,0.495256,1.648369
42901,0.478084,1.711566
43001,0.470538,1.743067
43101,0.434020,1.894124
43201,0.511455,1.611080
43301,0.481219,1.716271
43401,0.555487,1.490241
43501,0.405241,2.047464
43601,0.547032,1.520246
43701,0.441033,1.889954
43801,0.459519,1.818073
43901,0.614179,1.363358
44001,0.522095,1.607472
44101,0.488875,1.720605
44201,0.472541,1.784118
44301,0.464460,1.819262
44401,0.542656,1.560626
44501,0.536674,1.581575
44601,0.452543,1.879817
44701,0.488115,1.746730
44801,0.537431,1.589995
44901,0.586802,1.459469
45001,0.456026,1.882189
45101,0.497497,1.729124
45201,0.500524,1.722478
45301,0.653167,1.322860
45401,0.471931,1.834922
45501,0.501116,1.731863
45601,0.538586,1.614916
45701,0.504100,1.729177
45801,0.561459,1.555922
45901,0.546815,1.601076
46001,0.489743,1.791554
46101,0.543422,1.618094
46201,0.595156,1.480644
46301,0.546831,1.614982
46401,0.523483,1.690658
46501,0.528401,1.678531
46601,0.528211,1.682744
46701,0.552563,1.612037
46801,0.488571,1.827080
46901,0.513919,1.740676
47001,0.475499,1.885334
47101,0.499021,1.800288
47201,0.528442,1.703665
47301,0.620165,1.454769
47401,0.501694,1.802102
47501,0.765017,1.184302
47601,0.767387,1.183129
47701,0.755671,1.203997
47801,0.522295,1.745628
47901,0.648402,1.409064
48001,0.637451,1.436263
48101,0.521164,1.760397
48201,0.577470,1.592052
48301,0.785995,1.172106
48401,0.571223,1.616142
48501,0.652012,1.418816
48601,0.601150,1.542029
48701,0.593627,1.564785
48801,0.662446,1.405106
48901,0.628315,1.484468
49001,0.569862,1.640082
49101,0.879846,1.064423
49201,0.548915,1.709618
49301,0.525953,1.787885
49401,0.699349,1.347325
49501,1.126444,0.838176
49601,0.908216,1.041674
49701,1.213642,0.781097
49801,1.186377,0.800656
49901,1.261929,0.754232
50001,0.968912,0.984294
50101,1.316558,0.725834
50201,0.764548,1.252386
50301,0.627451,1.529071
50401,0.568891,1.689819
50501,0.460335,2.092455
50601,0.462235,2.087980
50701,0.456475,2.118510
50801,0.480815,2.015231
50901,0.443889,2.187168
51001,0.458073,2.123610
51101,0.490870,1.985609
51201,0.458443,2.130217
51301,0.455769,2.146898
51401,0.492479,1.990739
51501,0.449668,2.184510
51601,0.455659,2.159975
51701,0.458854,2.149093
51801,0.447695,2.206919
51901,0.475824,2.080464
52001,0.442369,2.242113
52101,0.512512,1.938978
52201,0.546338,1.822417
52301,0.499466,1.997260
52401,0.517961,1.929625
52501,0.500032,2.002629
52601,0.513078,1.955426
52701,0.536796,1.872580
52801,0.548655,1.835579
52901,0.567780,1.777110
53001,0.527632,1.915945
53101,0.542809,1.865889
53201,0.619233,1.638688
53301,0.514295,1.976759
53401,0.535186,1.903160
53501,0.548942,1.858942
53601,0.563611,1.813944
53701,0.537002,1.907378
53801,0.575747,1.782335
53901,0.506931,2.028049
54001,0.596116,1.727832
54101,0.467156,2.208888
54201,0.574226,1.800341
54301,0.619748,1.671181
54401,0.760997,1.363498
54501,0.634313,1.638821
54601,0.636840,1.635312
54701,0.547916,1.904197
54801,0.541045,1.931905
54901,0.585435,1.788676
55001,0.604763,1.734665
55101,0.584548,1.797918
55201,0.625251,1.683927
55301,0.576449,1.829795
55401,0.573941,1.841116
55501,0.557562,1.898620
55601,0.593611,1.786533
55701,0.588664,1.804787
55801,0.545406,1.951427
55901,0.591235,1.803390
56001,0.553286,1.930530
56101,0.633851,1.688161
56201,0.556487,1.926280
56301,0.518159,2.072448
56401,0.857862,1.254007
56501,0.540648,1.993297
56601,0.559489,1.929580
56701,0.772722,1.399581
56801,0.648052,1.671771
56901,0.662472,1.638260
57001,0.550329,1.975562
57101,0.616009,1.768020
57201,1.054634,1.034504
57301,0.612416,1.784621
57401,0.611320,1.790942
57501,0.642571,1.706809
57601,0.818927,1.341576
57701,0.750531,1.466375
57801,0.627056,1.758165
57901,0.796393,1.386721
58001,0.549426,2.013523
58101,0.604204,1.834132
58201,0.616056,1.801941
58301,0.590799,1.882203
58401,0.804141,1.385219
58501,0.645072,1.729759
58601,0.628800,1.777554
58701,0.614996,1.820555
58801,1.065213,1.052880
58901,0.593093,1.894219
59001,0.596384,1.886964
59101,0.716164,1.574029
59201,0.522096,2.162764
59301,0.543952,2.079371
59401,0.545024,2.078780
59501,0.533129,2.128738
59601,0.621586,1.828868
59701,0.719717,1.582160
59801,0.628936,1.813561
59901,0.674311,1.694355
60001,0.643897,1.777349
60101,0.572722,2.001558
60201,0.521622,2.201295
60301,0.577894,1.990245
60401,0.660834,1.743340
60501,0.552954,2.086912
60601,0.565578,2.043702
60701,0.561511,2.061902
60801,0.536351,2.162182
60901,0.582367,1.994609
61001,0.583984,1.992352
61101,0.516230,2.257540
61201,0.552027,2.114600
61301,0.517274,2.260361
61401,0.619945,1.889091
61501,0.565853,2.073046
61601,0.586064,2.004811
61701,0.569686,2.065794
61801,0.586738,2.009008
61901,0.552268,2.137857
62001,0.557839,2.119923
62101,0.574952,2.060142
62201,0.646923,1.833899
62301,0.614804,1.932808
62401,0.572351,2.079502
62501,0.623700,1.911356
62601,0.691027,1.727891
62701,0.671548,1.780853
62801,0.595603,2.011130
62901,0.601058,1.996049
63001,0.602130,1.995663
63101,0.570649,2.109101
63201,0.601262,2.004890
63301,0.557264,2.166606
63401,0.545693,2.216044
63501,0.565144,2.143146
63601,0.611291,1.984477
63701,0.587432,2.068327
63801,0.562987,2.161522
63901,0.563912,2.161359
64001,0.689971,1.769237
64101,0.579792,2.108739
64201,0.557218,2.197592
64301,0.560100,2.189688
64401,0.547088,2.245255
